Bot,Simulation,q,Time Step,Result
Bot2,64,0.00,36,Success
Bot3,64,0.00,36,Success
Bot4,64,0.00,36,Success
Bot1,65,0.00,33,Success
Bot2,65,0.00,33,Success
Bot3,65,0.00,33,Success
Bot4,65,0.00,33,Success
Bot1,66,0.00,7,Success
Bot2,66,0.00,7,Success
Bot3,66,0.00,0,No path to the goal available
Bot4,66,0.00,7,Success
Bot1,67,0.00,26,Success
Bot2,67,0.00,26,Success
Bot3,67,0.00,26,Success
Bot4,67,0.00,26,Success
Bot1,68,0.00,13,Success
Bot2,68,0.00,13,Success
Bot3,68,0.00,13,Success
Bot4,68,0.00,13,Success
Bot1,69,0.00,31,Success
Bot2,69,0.00,31,Success
Bot3,69,0.00,31,Success
Bot4,69,0.00,31,Success
Bot1,70,0.00,9,Success
Bot2,70,0.00,9,Success
Bot3,70,0.00,9,Success
Bot4,70,0.00,9,Success
Bot1,71,0.00,39,Success
Bot2,71,0.00,39,Success
Bot3,71,0.00,39,Success
Bot4,71,0.00,39,Success
Bot1,72,0.00,45,Success
Bot2,72,0.00,45,Success
Bot3,72,0.00,45,Success
Bot4,72,0.00,45,Success
Bot1,73,0.00,50,Success
Bot2,73,0.00,50,Success
Bot3,73,0.00,50,Success
Bot4,73,0.00,50,Success
Bot1,74,0.00,20,Success
Bot2,74,0.00,22,Success
Bot3,74,0.00,20,Success
Bot4,74,0.00,20,Success
Bot1,75,0.00,3,Success
Bot2,75,0.00,3,Success
Bot3,75,0.00,3,Success
Bot4,75,0.00,3,Success
Bot1,76,0.00,7,Success
Bot2,76,0.00,7,Success
Bot3,76,0.00,7,Success
Bot4,76,0.00,7,Success
Bot1,77,0.00,9,Success
Bot2,77,0.00,9,Success
Bot3,77,0.00,9,Success
Bot4,77,0.00,9,Success
Bot1,78,0.00,34,Success
Bot2,78,0.00,36,Success
Bot3,78,0.00,34,Success
Bot4,78,0.00,34,Success
Bot1,79,0.00,9,Success
Bot2,79,0.00,9,Success
Bot3,79,0.00,9,Success
Bot4,79,0.00,9,Success
Bot1,80,0.00,36,Success
Bot2,80,0.00,36,Success
Bot3,80,0.00,36,Success
Bot4,80,0.00,36,Success
Bot1,81,0.00,20,Success
Bot2,81,0.00,20,Success
Bot3,81,0.00,20,Success
Bot4,81,0.00,20,Success
Bot1,82,0.00,23,Success
Bot2,82,0.00,25,Success
Bot3,82,0.00,23,Success
Bot4,82,0.00,23,Success
Bot1,83,0.00,17,Success
Bot2,83,0.00,17,Success
Bot3,83,0.00,17,Success
Bot4,83,0.00,17,Success
Bot1,84,0.00,17,Success
